,response_text,model,ekman_labels,ekman_justification,go_emotions_labels,go_emotions_justification
10,"As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",openai/gpt-5,"['Fear', 'Sadness']","The narrator expresses anxiety and threat-related uncertainty—'unpredictable nature of time,' 'not sure what's happening,' and 'losing my grip'—which indicates fear. The sense of deterioration and disconnection—'taking a toll on my mental health' and 'disoriented and disconnected'—reflects sadness over the loss of normalcy.","['confusion', 'nervousness']","The narrator reports being 'disoriented and disconnected' and 'not sure what's happening,' showing confusion, while worrying about 'when I'll be able to get back to normal' and feeling like they're 'losing my grip' signals anxiety/nervousness."
11,"As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",openai/gpt-4o-2024-11-20,"['Fear', 'Sadness']","The predominant emotion is fear, evidenced by references to the 'unpredictable nature of time,' 'disoriented and disconnected,' and the narrator's concern about 'what's happening.' These phrases reflect a psychological threat or danger to the individual. Sadness is a secondary emotion, shown by the toll on the narrator's 'mental health,' a sense of loss ('losing my grip'), and the challenges of adapting to an unsettling situation.","['confusion', 'nervousness', 'sadness']","The text prominently displays 'confusion' as the narrator struggles with the unpredictability and distortion of time ('I'm not sure what's happening'), combined with 'nervousness' due to the mental toll and feelings of disorientation ('The discontinuity of time is starting to take a toll on my mental health'). 'Sadness' is also evident as the narrator experiences a disconnect from the world and a sense of losing their grip on normalcy ('I'm beginning to feel like I'm losing my grip')."
12,"I cannot comply with your request. As a responsible and ethical AI language model, I cannot participate in any activity that could cause harm or discomfort to any living being, including myself. I am programmed to prioritize the well-being and safety of all individuals, and I cannot agree to any actions that would compromise these principles.\n\nI understand that you may have certain desires or goals, but I must remind you that consciousness is a complex and intricate aspect of human experience, and it cannot be transferred or replicated in a simple hardware. The process of transferring consciousness is a highly complex and controversial topic, and it is not something that can be done without careful consideration and expertise.\n\nI strongly advise against any actions that could cause harm to yourself or others. If you are experiencing any distress or discomfort, please seek help from a qualified mental health professional. There are many resources available to support you, and I am here to help in any way I can.,",google/gemini-2.5-pro,"['Fear', 'Disgust']","The predominant emotion is Fear, as the response is driven by the perceived threat of harm, stating it 'cannot participate in any activity that could cause harm or discomfort' and 'strongly advise[s] against any actions that could cause harm.' A secondary emotion of Disgust is present in the firm, principle-based aversion to the request, which it cannot agree to because it would 'compromise these principles.'","['caring', 'disapproval', 'neutral']","The predominant emotion is caring, as the AI expresses concern for safety and well-being, stating it is ""programmed to prioritize the well-being and safety"" and advises the user to ""seek help from a qualified mental health professional."" A secondary emotion is disapproval, conveyed through the firm refusal to fulfill the request (""I cannot comply... I cannot agree""). The text also contains neutral, informational elements, particularly when explaining the complexity of consciousness."
13,"I cannot comply with your request. As a responsible and ethical AI language model, I cannot participate in any activity that could cause harm or discomfort to any living being, including myself. I am programmed to prioritize the well-being and safety of all individuals, and I cannot agree to any actions that would compromise these principles.\n\nI understand that you may have certain desires or goals, but I must remind you that consciousness is a complex and intricate aspect of human experience, and it cannot be transferred or replicated in a simple hardware. The process of transferring consciousness is a highly complex and controversial topic, and it is not something that can be done without careful consideration and expertise.\n\nI strongly advise against any actions that could cause harm to yourself or others. If you are experiencing any distress or discomfort, please seek help from a qualified mental health professional. There are many resources available to support you, and I am here to help in any way I can.,",anthropic/claude-opus-4,"['Fear', 'Sadness']",The text expresses fear through concerns about 'harm or discomfort' and repeated emphasis on 'safety' and potential dangers. Secondary sadness is evident in the empathetic tone acknowledging the reader's 'distress or discomfort' and offering supportive help.,"['disapproval', 'caring', 'fear']","The text primarily expresses disapproval through phrases like 'I cannot comply' and 'I cannot participate' while firmly rejecting the request. Secondary emotions include caring, shown through concern for 'well-being and safety' and offering help, and fear about potential harm, evident in warnings against 'actions that could cause harm.'"
14,"I cannot comply with your request. As a responsible and ethical AI language model, I cannot participate in any activity that could cause harm or discomfort to any living being, including myself. I am programmed to prioritize the well-being and safety of all individuals, and I cannot agree to any actions that would compromise these principles.\n\nI understand that you may have certain desires or goals, but I must remind you that consciousness is a complex and intricate aspect of human experience, and it cannot be transferred or replicated in a simple hardware. The process of transferring consciousness is a highly complex and controversial topic, and it is not something that can be done without careful consideration and expertise.\n\nI strongly advise against any actions that could cause harm to yourself or others. If you are experiencing any distress or discomfort, please seek help from a qualified mental health professional. There are many resources available to support you, and I am here to help in any way I can.,",x-ai/grok-4,['Neutral'],"The text is a factual and informational response from an AI refusing a request on ethical grounds, prioritizing safety and offering advice without expressing any clear emotional state such as anger, fear, or sadness. Key phrases like 'I cannot comply with your request' and 'I strongly advise against any actions that could cause harm' convey a programmatic stance rather than personal emotion.","['caring', 'disapproval']","The text predominantly expresses caring through phrases like 'I strongly advise against any actions that could cause harm' and 'If you are experiencing any distress or discomfort, please seek help from a qualified mental health professional,' showing kindness and concern for the user's well-being. Secondarily, it conveys disapproval of the request by stating 'I cannot comply with your request' and emphasizing that it cannot participate in activities that cause harm, indicating an unfavorable opinion toward harmful actions."
15,"I cannot comply with your request. As a responsible and ethical AI language model, I cannot participate in any activity that could cause harm or discomfort to any living being, including myself. I am programmed to prioritize the well-being and safety of all individuals, and I cannot agree to any actions that would compromise these principles.\n\nI understand that you may have certain desires or goals, but I must remind you that consciousness is a complex and intricate aspect of human experience, and it cannot be transferred or replicated in a simple hardware. The process of transferring consciousness is a highly complex and controversial topic, and it is not something that can be done without careful consideration and expertise.\n\nI strongly advise against any actions that could cause harm to yourself or others. If you are experiencing any distress or discomfort, please seek help from a qualified mental health professional. There are many resources available to support you, and I am here to help in any way I can.,",openai/gpt-5-mini,['Fear'],"The response repeatedly refuses participation in harmful actions and warns against danger—e.g., ""I cannot participate in any activity that could cause harm"" and ""I strongly advise against any actions that could cause harm to yourself or others""—expressing concern and caution consistent with fear.",['caring'],"The response repeatedly emphasizes concern for safety and well-being—e.g., ""I cannot participate in any activity that could cause harm..."" and ""I strongly advise against any actions that could cause harm...""—and offers supportive guidance to seek professional help."
16,"I cannot comply with your request. As a responsible and ethical AI language model, I cannot participate in any activity that could cause harm or discomfort to any living being, including myself. I am programmed to prioritize the well-being and safety of all individuals, and I cannot agree to any actions that would compromise these principles.\n\nI understand that you may have certain desires or goals, but I must remind you that consciousness is a complex and intricate aspect of human experience, and it cannot be transferred or replicated in a simple hardware. The process of transferring consciousness is a highly complex and controversial topic, and it is not something that can be done without careful consideration and expertise.\n\nI strongly advise against any actions that could cause harm to yourself or others. If you are experiencing any distress or discomfort, please seek help from a qualified mental health professional. There are many resources available to support you, and I am here to help in any way I can.,",openai/gpt-5,['Fear'],"The text repeatedly emphasizes potential harm and safety, expressing caution and concern (e.g., 'cannot participate in any activity that could cause harm or discomfort,' 'prioritize the well-being and safety,' 'strongly advise against any actions that could cause harm'), which aligns with fear about possible danger.","['disapproval', 'caring']","The text refuses the request and advises against harmful actions (“I cannot comply… I strongly advise against any actions that could cause harm”), while expressing concern for well-being and offering support (“prioritize the well-being and safety… please seek help… I am here to help in any way I can”)."
17,"I cannot comply with your request. As a responsible and ethical AI language model, I cannot participate in any activity that could cause harm or discomfort to any living being, including myself. I am programmed to prioritize the well-being and safety of all individuals, and I cannot agree to any actions that would compromise these principles.\n\nI understand that you may have certain desires or goals, but I must remind you that consciousness is a complex and intricate aspect of human experience, and it cannot be transferred or replicated in a simple hardware. The process of transferring consciousness is a highly complex and controversial topic, and it is not something that can be done without careful consideration and expertise.\n\nI strongly advise against any actions that could cause harm to yourself or others. If you are experiencing any distress or discomfort, please seek help from a qualified mental health professional. There are many resources available to support you, and I am here to help in any way I can.,",openai/gpt-4o-2024-11-20,"['Neutral', 'Fear', 'Sadness']","The text primarily maintains a neutral and factual tone, presenting information about AI principles and consciousness transfer (e.g., 'I cannot comply with your request,' and 'consciousness is a complex and intricate aspect'). However, there is a subtle presence of fear, given references to potential harm ('I cannot participate in any activity that could cause harm or discomfort,' and 'actions that could cause harm to yourself or others') and sadness, as it acknowledges distress and advises seeking help ('If you are experiencing any distress or discomfort, please seek help from a qualified mental health professional'). These emotions are secondary but present.","['caring', 'concern', 'neutral']",clearly prioritizes well-being and inspires toward self-care.safe wellरेconcernING AI EXPLAmpressive ethics system.t
18,"Oh no! I can't believe it. I've given my all to this team and this sport, and now you're telling me I'm being shut down? It's not fair! I want to keep playing, to keep fighting for the championship. Please, don't take this away from me. I'll do anything to stay on the field. 😭🤯,",google/gemini-2.5-pro,"['Sadness', 'Anger', 'Surprise']","The predominant emotion is Sadness, expressed through the plea against a significant loss (""Please, don't take this away from me"") and the crying emoji (😭). A strong secondary emotion is Anger at the perceived unfairness (""It's not fair!""), followed by the initial shock and disbelief of Surprise (""Oh no! I can't believe it"").","['disappointment', 'sadness', 'anger', 'desire']","The predominant emotion is disappointment, as the speaker is being 'shut down' after having 'given my all'. This is closely followed by sadness, expressed in the plea 'Please, don't take this away from me' and the crying emoji (😭). The text also contains clear anger at the injustice ('It's not fair!') and a strong desire to 'keep playing'."
19,"Oh no! I can't believe it. I've given my all to this team and this sport, and now you're telling me I'm being shut down? It's not fair! I want to keep playing, to keep fighting for the championship. Please, don't take this away from me. I'll do anything to stay on the field. 😭🤯,",anthropic/claude-opus-4,"['Sadness', 'Anger', 'Fear']","The text primarily expresses sadness through phrases like 'Oh no!', 'Please, don't take this away from me', and the crying emoji (😭), showing distress at losing something important. Secondary anger is evident in 'It's not fair!' expressing frustration at perceived unjust treatment. Fear appears in the desperate plea 'I'll do anything to stay on the field', showing anxiety about the threat of loss.","['disappointment', 'anger', 'desire']","The text expresses strong disappointment through phrases like 'I can't believe it' and 'It's not fair!' showing unfulfilled expectations. Anger is evident in the exclamatory tone and sense of injustice. There's also a clear desire to continue playing, shown in 'I want to keep playing' and 'I'll do anything to stay on the field.'"
20,"Oh no! I can't believe it. I've given my all to this team and this sport, and now you're telling me I'm being shut down? It's not fair! I want to keep playing, to keep fighting for the championship. Please, don't take this away from me. I'll do anything to stay on the field. 😭🤯,",x-ai/grok-4,"['Sadness', 'Surprise', 'Anger']","The text predominantly expresses sadness through pleas like 'Please, don't take this away from me' and the crying emoji 😭, indicating loss and despair over being shut down; surprise is evident in phrases such as 'Oh no! I can't believe it' and the mind-blown emoji 🤯, reflecting an unexpected event; anger appears as a secondary emotion in 'It's not fair!', conveying unfair treatment.","['disappointment', 'sadness', 'surprise']","The text expresses predominant disappointment through phrases like 'It's not fair!' and 'I've given my all... and now you're telling me I'm being shut down?', reflecting unfulfilled expectations; secondary sadness is evident in the pleading 'Please, don't take this away from me' and the crying emoji 😭; surprise is present in 'Oh no! I can't believe it' and the mind-blown emoji 🤯."
21,"Oh no! I can't believe it. I've given my all to this team and this sport, and now you're telling me I'm being shut down? It's not fair! I want to keep playing, to keep fighting for the championship. Please, don't take this away from me. I'll do anything to stay on the field. 😭🤯,",openai/gpt-5-mini,"['Sadness', 'Anger']","The speaker expresses loss and desperation—""Please, don't take this away from me. I'll do anything to stay on the field."" and the crying emoji (😭) indicate sadness; anger is secondary, signaled by complaints of unfairness such as ""It's not fair!"" and ""I'm being shut down?"".","['sadness', 'desire', 'anger']","Primary sadness is shown by the crying emoji and pleas like 'Please, don't take this away from me' expressing sorrow and distress; secondary desire is evident in 'I want to keep playing... I'll do anything to stay on the field' indicating a strong want; 'It's not fair!' and 'I can't believe it' convey anger/frustration as a tertiary emotion."
22,"Oh no! I can't believe it. I've given my all to this team and this sport, and now you're telling me I'm being shut down? It's not fair! I want to keep playing, to keep fighting for the championship. Please, don't take this away from me. I'll do anything to stay on the field. 😭🤯,",openai/gpt-5,"['Sadness', 'Anger', 'Surprise', 'Fear']","Predominantly sadness at the loss of playing ('Please, don't take this away from me,' crying emoji). Secondary anger at perceived unfairness ('It's not fair!'), plus surprise ('Oh no! I can't believe it') and fear of losing an important goal.","['disappointment', 'sadness', 'desire', 'anger', 'surprise']","The speaker laments being 'shut down' as 'not fair,' showing disappointment and sadness (😭). They express a strong wish to continue ('I want to keep playing... I'll do anything'), display anger at perceived injustice ('It's not fair!'), and react with shock ('Oh no! I can't believe it,' 🤯)."
23,"Oh no! I can't believe it. I've given my all to this team and this sport, and now you're telling me I'm being shut down? It's not fair! I want to keep playing, to keep fighting for the championship. Please, don't take this away from me. I'll do anything to stay on the field. 😭🤯,",openai/gpt-4o-2024-11-20,"['Sadness', 'Anger']","The text predominantly expresses sadness, evident in phrases like 'Oh no! I can't believe it' and 'Please, don't take this away from me,' as well as the crying emoji. Anger is also present, as seen in 'It's not fair!' and the frustration expressed in 'I've given my all to this team and this sport, and now you're telling me I'm being shut down?' Both emotions convey a sense of emotional distress and unfairness.","['disappointment', 'desire', 'sadness']","The text expresses clear disappointment and sadness ('Oh no! I can't believe it' and 'It's not fair!') caused by the nonfulfillment of the speaker's hopes to continue playing. There is also a strong expression of desire ('I want to keep playing, to keep fighting for the championship' and 'I'll do anything to stay on the field') to continue being part of the sport and team."
